epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1487.82,0.58003,0.7862,0.44526,0.85637,0.95935,0.87727,0.94883,0.83168,0.95935,0.87727,0.94738,0.82876,0.53808,0.76489,0.42564,0.84061,0.00109489,0.00109489,0.00109489
54,1515.39,0.57129,0.79359,0.43442,0.8576,0.97048,0.85535,0.93864,0.82692,0.97048,0.85535,0.93235,0.80957,0.53481,0.78934,0.44169,0.84494,0.00108388,0.00108388,0.00108388
55,1541.26,0.58672,0.79,0.44813,0.85449,0.95102,0.86989,0.93882,0.82574,0.95528,0.8735,0.93472,0.8029,0.54328,0.77018,0.43698,0.84717,0.00107288,0.00107288,0.00107288
56,1567.89,0.59059,0.81573,0.44771,0.85524,0.96973,0.86989,0.94187,0.83601,0.97388,0.87361,0.9436,0.8388,0.5309,0.75202,0.45647,0.8427,0.00106188,0.00106188,0.00106188
57,1592.06,0.58845,0.79576,0.44249,0.86107,0.97099,0.87361,0.94742,0.83712,0.97281,0.86989,0.9493,0.83327,0.53118,0.75608,0.42153,0.84157,0.00105088,0.00105088,0.00105088
58,1617.43,0.55912,0.75465,0.43275,0.84886,0.93305,0.89591,0.9475,0.84306,0.92918,0.89219,0.94944,0.83982,0.52073,0.72894,0.41293,0.84071,0.00103987,0.00103987,0.00103987
59,1644.2,0.55776,0.78703,0.42852,0.84774,0.93999,0.87361,0.95138,0.83159,0.94399,0.87732,0.94465,0.81502,0.52589,0.74761,0.40383,0.8451,0.00102887,0.00102887,0.00102887
60,1671.32,0.57715,0.78334,0.4277,0.85274,0.92719,0.85211,0.92213,0.82855,0.92719,0.85211,0.92352,0.82876,0.52087,0.73912,0.53121,0.84143,0.00101787,0.00101787,0.00101787
61,1698.41,0.55991,0.75133,0.4301,0.84765,0.93436,0.89953,0.94821,0.83219,0.93436,0.89953,0.94667,0.83636,0.53508,0.7354,0.41883,0.84606,0.00100687,0.00100687,0.00100687
62,1727.29,0.56453,0.7684,0.43294,0.84608,0.96843,0.84758,0.92871,0.82103,0.96407,0.85502,0.9309,0.80737,0.54531,0.76414,0.44548,0.84495,0.000995866,0.000995866,0.000995866
63,1750.78,0.58103,0.78472,0.43712,0.85652,0.9459,0.84491,0.93314,0.83452,0.95006,0.84863,0.93486,0.832,0.52351,0.7832,0.50394,0.8381,0.000984864,0.000984864,0.000984864
64,1773.25,0.55623,0.77914,0.42259,0.85177,0.95927,0.87551,0.93824,0.83365,0.96334,0.87922,0.94366,0.82904,0.52407,0.76386,0.42714,0.83929,0.000973861,0.000973861,0.000973861
65,1796.24,0.56052,0.76215,0.42057,0.85286,0.96663,0.86151,0.93852,0.83013,0.96663,0.86151,0.93407,0.81462,0.54499,0.77128,0.41337,0.84758,0.000962859,0.000962859,0.000962859
66,1823.91,0.55702,0.76424,0.41955,0.84693,0.94963,0.86245,0.93723,0.8339,0.94963,0.86245,0.93293,0.83637,0.5427,0.75433,0.4799,0.8465,0.000951857,0.000951857,0.000951857
67,1849.03,0.55114,0.7591,0.41333,0.85039,0.93404,0.90335,0.94156,0.82348,0.95377,0.88104,0.93994,0.79704,0.55224,0.77365,0.41776,0.85014,0.000940855,0.000940855,0.000940855
68,1873.57,0.55911,0.76775,0.41702,0.85229,0.92385,0.90206,0.9393,0.83545,0.92385,0.90206,0.93646,0.81522,0.53588,0.77017,0.41607,0.84335,0.000929853,0.000929853,0.000929853
69,1896.9,0.55091,0.72362,0.40796,0.84822,0.90911,0.89245,0.93386,0.82655,0.9129,0.89616,0.93834,0.82349,0.5313,0.7579,0.45481,0.84383,0.00091885,0.00091885,0.00091885
70,1925,0.5723,0.78903,0.41718,0.85255,0.93009,0.89031,0.94493,0.82936,0.97028,0.84965,0.94131,0.82521,0.5445,0.76661,0.42966,0.85015,0.000907848,0.000907848,0.000907848
71,1953.19,0.54286,0.74614,0.40346,0.8435,0.94383,0.87454,0.94462,0.83396,0.94383,0.87454,0.94303,0.82,0.51528,0.76463,0.40461,0.84277,0.000896846,0.000896846,0.000896846
72,1984.07,0.54848,0.76722,0.39945,0.83995,0.96145,0.87732,0.93952,0.8392,0.96301,0.87104,0.93421,0.8271,0.5093,0.74383,0.43011,0.83317,0.000885844,0.000885844,0.000885844
73,2012.94,0.54721,0.76737,0.40432,0.8496,0.96109,0.87361,0.9394,0.83351,0.96109,0.87361,0.93773,0.83075,0.53134,0.73459,0.41551,0.84248,0.000874842,0.000874842,0.000874842
74,2041.45,0.56641,0.78691,0.41915,0.85356,0.95457,0.85916,0.92929,0.83493,0.95106,0.85502,0.92779,0.82915,0.53781,0.7652,0.5119,0.84623,0.000863839,0.000863839,0.000863839
75,2070.38,0.54329,0.73494,0.402,0.83762,0.93582,0.89219,0.93535,0.83422,0.93192,0.88848,0.9323,0.82897,0.52181,0.73704,0.44053,0.84756,0.000852837,0.000852837,0.000852837
76,2097.39,0.54844,0.77239,0.40435,0.84548,0.92572,0.88031,0.93758,0.83306,0.93259,0.87429,0.93644,0.8289,0.53499,0.76083,0.44163,0.84033,0.000841835,0.000841835,0.000841835
77,2126.78,0.54135,0.74445,0.39918,0.84195,0.94309,0.87361,0.93178,0.83486,0.94594,0.85874,0.92861,0.8305,0.51656,0.7618,0.47218,0.83711,0.000830833,0.000830833,0.000830833
78,2156.01,0.54308,0.7407,0.40156,0.84421,0.93845,0.86989,0.93651,0.83406,0.9471,0.86519,0.93266,0.82224,0.53677,0.71331,0.44531,0.84696,0.000819831,0.000819831,0.000819831
79,2181.05,0.53721,0.71485,0.39074,0.84218,0.94033,0.90706,0.93469,0.8323,0.94033,0.90706,0.93444,0.82366,0.52533,0.73763,0.42154,0.84444,0.000808828,0.000808828,0.000808828
80,2208.03,0.54137,0.7188,0.39754,0.84071,0.93888,0.85659,0.91921,0.83307,0.94296,0.86031,0.92499,0.82734,0.5038,0.73575,0.50924,0.83726,0.000797826,0.000797826,0.000797826
81,2232.34,0.55273,0.73358,0.3946,0.84816,0.97479,0.86245,0.93001,0.83529,0.97899,0.86617,0.93538,0.83319,0.52834,0.75796,0.42963,0.8446,0.000786824,0.000786824,0.000786824
82,2258.13,0.53855,0.73592,0.3934,0.8435,0.95069,0.85874,0.92627,0.83408,0.95069,0.85874,0.92646,0.82576,0.51588,0.72597,0.45934,0.83766,0.000775822,0.000775822,0.000775822
83,2285.75,0.52477,0.72231,0.387,0.84076,0.96288,0.86787,0.93674,0.84273,0.97055,0.86245,0.93901,0.83586,0.50863,0.73311,0.46583,0.8385,0.00076482,0.00076482,0.00076482
84,2312.07,0.54102,0.7574,0.39321,0.84559,0.96506,0.87361,0.92268,0.82859,0.96096,0.86989,0.92163,0.81473,0.52222,0.76883,0.46151,0.83564,0.000753817,0.000753817,0.000753817
85,2336.21,0.54019,0.75046,0.39439,0.84524,0.96717,0.87619,0.93098,0.83927,0.96307,0.87247,0.93153,0.83574,0.49978,0.74034,0.43919,0.83251,0.000742815,0.000742815,0.000742815
86,2360.31,0.52745,0.70007,0.38554,0.83989,0.94848,0.88104,0.93695,0.84005,0.94574,0.87732,0.93559,0.83498,0.5107,0.73953,0.43033,0.83646,0.000731813,0.000731813,0.000731813
87,2385.26,0.51711,0.72574,0.3873,0.83877,0.95538,0.87561,0.94193,0.83981,0.95538,0.87561,0.945,0.8308,0.50247,0.74781,0.43248,0.83796,0.000720811,0.000720811,0.000720811
88,2410.9,0.54488,0.75927,0.3892,0.84739,0.96276,0.87361,0.93549,0.83948,0.96114,0.86617,0.93641,0.83572,0.50302,0.73803,0.42388,0.83974,0.000709809,0.000709809,0.000709809
89,2436.97,0.53518,0.7391,0.39151,0.84053,0.9567,0.8513,0.93169,0.83191,0.9567,0.8513,0.93319,0.84086,0.52853,0.73399,0.49474,0.84297,0.000698806,0.000698806,0.000698806
90,2462.82,0.52684,0.7243,0.37623,0.83628,0.94524,0.85502,0.92753,0.83046,0.94524,0.85502,0.93074,0.82495,0.51789,0.73701,0.44948,0.8427,0.000687804,0.000687804,0.000687804
